RefSeq_oriC,Prediction,Correct
NC_021916_0,-1.078927395279412,False
NC_021916_1,-1.0249821512532877,False
NC_021916_2,-1.0249821512532877,False
NC_021916_3,-1.0099571537859804,False
NC_021916_4,-1.0182339198082042,False
NC_021916_5,-1.0000156456697846,False
NC_021916_6,-1.0000156456697846,False
NC_018416_0,-1.0265138422432218,False
NC_018416_1,-0.6714540858559959,False
NC_018416_2,-1.0224807463028514,False
NC_018416_3,-1.0067215683313835,False
NC_018416_4,-1.0067215683313835,False
NC_010118_0,-0.18065552885653968,False
NC_010118_1,-0.9984107297950802,False
NC_010118_2,-1.0285946069867622,False
NC_010118_3,-1.000787508144442,False
NC_010118_4,-1.0026399283692955,False
NC_010118_5,-1.0234242582288262,False
NC_004545_0,-1.055199503647811,False
NC_004545_1,1.0289607323175316,True
NC_006055_0,1.0001566512189042,True
NC_006055_1,0.08212262028180017,False
NC_017429_0,1.2663988644638975,True
NC_017429_1,-0.9989859898159752,False
NC_017042_0,0.2626336109540288,True
NC_017042_1,-1.0286661325352542,False
NC_017042_2,-1.0039592898731913,False
NC_017042_3,-1.0087051042547666,False
NC_017042_4,-1.0200551901431796,False
NC_017503_0,-0.8566901005153627,True
NC_017503_1,-1.1018245262276283,False
NC_017503_2,-1.002032856829925,False
NC_017503_3,-1.0091011491022543,False
NC_020419_0,1.0001566512189042,True
NC_020419_1,0.08212262028180017,False
NC_002506_0,0.7036281324376743,True
NC_002506_1,-1.0045964133794607,False
NC_002506_2,-1.0045964133794607,False
NC_002506_3,-1.1740103073456192,False
NC_021891_0,0.910009534007659,True
NC_021891_1,-1.071411874672802,False
NC_021891_2,-1.0113646332650825,False
NC_007494_0,-1.002211555648299,True
NC_007494_1,-1.0105962939408544,False
NC_007494_2,-1.0270889729402457,False
NC_007494_3,-1.0270889729402457,False
NC_007494_4,-1.020568186977898,False
NC_017953_0,1.1384022314929636,True
NC_017953_1,-1.0151586208257557,False
NC_017177_0,0.26123200046965156,False
NC_017177_1,-0.45351827211819984,False
NC_014448_0,-0.14740700128171813,False
NC_014448_1,-1.0657136546253456,False
NC_014448_2,-1.0075748651370207,False
NC_014448_3,-1.0021806644698374,False
NC_021897_0,1.2287358408736422,True
NC_021897_1,-1.0239624891590795,False
NC_023004_0,-0.1796108506491665,True
NC_023004_1,-0.6814878639254234,False
NC_023004_2,-1.0042651710308634,False
NC_016638_0,0.2399547779502056,True
NC_016638_1,-1.0297147559495388,False
NC_016638_2,-0.9576330427565596,False
NC_013532_0,-0.6931696859219558,True
NC_013532_1,-1.005886869136721,False
NC_013532_2,-1.005886869136721,False
NC_013532_3,-1.0128394313113462,False
NC_013532_4,-1.05206645673631,False
NC_006841_0,0.9998671168788507,True
NC_016931_0,-1.308942482308681,False
NC_016931_1,-1.0214563372632215,False
NC_016931_2,-1.0214563372632215,False
NC_016931_3,-1.0039608515089329,False
NC_016931_4,-1.0003426620937335,False
NC_019439_0,-1.0371393459477902,False
NC_019439_1,-1.0182435069897098,False
NC_019439_2,-1.0182435069897098,False
NC_019439_3,-0.998310602089302,False
NC_019439_4,-1.070402578359766,False
NC_019439_5,-1.0357998190665443,False
NC_019439_6,-1.0024987220913824,True
NC_019439_7,-1.0021319667640656,False
NC_022660_0,1.2105727574748384,True
NC_022660_1,-1.0927983356908948,False
NC_022660_2,-1.0278526469265445,False
NZ_CP010435_0,-1.1606331681851545,False
NZ_CP010435_1,-1.0661623562098415,True
NZ_CP010435_2,-1.0168417559065093,False
NZ_CP010435_3,-1.0099031227022275,False
NZ_CP010435_4,-1.0033725594953546,False
NC_017430_0,1.2663988644638975,True
NC_017430_1,-0.9989859898159752,False
NC_020511_0,1.1384022314929636,True
NC_020511_1,-1.0151586208257557,False
NC_011025_0,-1.0209592631157465,True
NC_011025_1,-1.0152946099516393,False
NC_011025_2,-1.0386765043975048,False
NC_011025_3,-1.012872551359128,False
NC_011025_4,-1.012872551359128,False
NC_011025_5,-1.0118180679374946,False
NC_011025_6,-1.0066555827228898,False
NC_011025_7,-1.0066555827228898,False
NC_011025_8,-1.0291542550934958,False
NC_011025_9,-1.0067215683313835,False
NC_015596_0,0.5556223330257408,False
NC_015596_1,0.2758554169613232,False
NC_015596_2,-1.0171802356242603,False
NC_015596_3,-1.0079633326035848,True
NC_015596_4,-1.0079633326035848,False
NC_015596_5,-1.0079633326035848,False
NC_023151_0,-1.0792803696192665,False
NC_023151_1,-1.0792803696192665,True
NC_023151_2,-1.0308857234318411,False
NC_023151_3,-1.0308857234318411,False
NC_023151_4,-1.0308857234318411,False
NC_023151_5,-1.0152558266488088,False
NC_023151_6,-1.011672935561326,False
NC_008054_0,1.103713085461787,True
NC_008054_1,-0.9995032904858379,False
NC_008054_2,-1.0029566973665682,False
NC_020943_0,1.2663988644638975,True
NC_020943_1,-0.9989859898159752,False
NC_017951_0,1.1384022314929636,True
NC_017951_1,-1.0151586208257557,False
NC_020964_0,1.1384022314929636,True
NC_020964_1,-1.0151586208257557,False
NZ_LN515399_0,-1.0583126624770332,False
NZ_LN515399_1,-1.0583126624770332,False
NZ_LN515399_2,-0.9957477099896694,True
NZ_LN515399_3,-0.9957477099896694,False
NZ_LN515399_4,-1.001403310764947,False
NZ_LN515399_5,-1.0037637019201364,False
